# sinyal uji sintetis - bukan rekaman pasien - 250 Hz, target ~78 BPM
time_s,mV
0.0000,-0.0020
0.0040,0.0041
0.0080,-0.0018
0.0120,-0.0025
0.0160,-0.0074
0.0200,-0.0017
0.0240,0.0089
0.0280,0.0034
0.0320,0.0083
0.0360,0.0020
0.0400,0.0032
0.0440,0.0015
0.0480,-0.0133
0.0520,0.0068
0.0560,0.0041
0.0600,0.0040
0.0640,-0.0135
0.0680,-0.0140
0.0720,-0.0071
0.0760,-0.0037
0.0800,0.0024
0.0840,-0.0004
0.0880,0.0042
0.0920,-0.0051
0.0960,0.0025
0.1000,0.0032
0.1040,-0.0052
0.1080,0.0143
0.1120,0.0064
0.1160,0.0158
0.1200,0.0113
0.1240,0.0293
0.1280,0.0604
0.1320,0.0931
0.1360,0.1209
0.1400,0.1203
0.1440,0.0967
0.1480,0.0627
0.1520,0.0368
0.1560,0.0295
0.1600,0.0014
0.1640,0.0046
0.1680,0.0041
0.1720,-0.0118
0.1760,0.0004
0.1800,0.0105
0.1840,-0.0161
0.1880,-0.0026
0.1920,-0.0008
0.1960,-0.0066
0.2000,0.0036
0.2040,-0.0053
0.2080,-0.0395
0.2120,-0.0695
0.2160,-0.0875
0.2200,0.0159
0.2240,0.3522
0.2280,0.8775
0.2320,1.0138
0.2360,0.5393
0.2400,0.1327
0.2440,-0.0377
0.2480,-0.1173
0.2520,-0.1822
0.2560,-0.1770
0.2600,-0.1134
0.2640,-0.0358
0.2680,-0.0290
0.2720,-0.0140
0.2760,0.0016
0.2800,0.0115
0.2840,0.0046
0.2880,-0.0152
0.2920,-0.0201
0.2960,0.0029
0.3000,-0.0059
0.3040,-0.0089
0.3080,0.0079
0.3120,0.0090
0.3160,0.0016
0.3200,0.0027
0.3240,0.0047
0.3280,0.0149
0.3320,0.0086
0.3360,0.0101
0.3400,0.0139
0.3440,0.0022
0.3480,0.0324
0.3520,0.0398
0.3560,0.0497
0.3600,0.0465
0.3640,0.0779
0.3680,0.1138
0.3720,0.1196
0.3760,0.1616
0.3800,0.2005
0.3840,0.2097
0.3880,0.2575
0.3920,0.2681
0.3960,0.2746
0.4000,0.2826
0.4040,0.2810
0.4080,0.2646
0.4120,0.2538
0.4160,0.2149
0.4200,0.1890
0.4240,0.1714
0.4280,0.1343
0.4320,0.1000
0.4360,0.0905
0.4400,0.0741
0.4440,0.0419
0.4480,0.0211
0.4520,0.0210
0.4560,0.0135
0.4600,0.0071
0.4640,0.0172
0.4680,-0.0046
0.4720,0.0122
0.4760,-0.0089
0.4800,-0.0056
0.4840,0.0054
0.4880,0.0092
0.4920,0.0070
0.4960,0.0028
0.5000,0.0012
0.5040,0.0012
0.5080,0.0046
0.5120,-0.0014
0.5160,0.0022
0.5200,0.0046
0.5240,0.0000
0.5280,0.0061
0.5320,0.0045
0.5360,0.0161
0.5400,0.0026
0.5440,-0.0034
0.5480,-0.0030
0.5520,-0.0001
0.5560,0.0074
0.5600,-0.0027
0.5640,0.0031
0.5680,0.0147
0.5720,-0.0205
0.5760,-0.0090
0.5800,0.0020
0.5840,0.0032
0.5880,0.0019
0.5920,-0.0034
0.5960,0.0052
0.6000,0.0023
0.6040,-0.0042
0.6080,0.0194
0.6120,0.0028
0.6160,-0.0044
0.6200,-0.0008
0.6240,-0.0018
0.6280,-0.0005
0.6320,-0.0218
0.6360,-0.0039
0.6400,0.0081
0.6440,-0.0093
0.6480,-0.0005
0.6520,0.0076
0.6560,0.0068
0.6600,0.0119
0.6640,-0.0136
0.6680,-0.0028
0.6720,-0.0027
0.6760,0.0050
0.6800,0.0087
0.6840,-0.0215
0.6880,0.0087
0.6920,-0.0116
0.6960,0.0055
0.7000,-0.0119
0.7040,0.0014
0.7080,0.0096
0.7120,-0.0012
0.7160,0.0015
0.7200,0.0064
0.7240,0.0011
0.7280,-0.0007
0.7320,0.0123
0.7360,0.0084
0.7400,-0.0024
0.7440,0.0220
0.7480,-0.0092
0.7520,0.0073
0.7560,-0.0021
0.7600,0.0011
0.7640,0.0056
0.7680,0.0018
0.7720,0.0051
0.7760,-0.0122
0.7800,-0.0121
0.7840,0.0049
0.7880,-0.0077
0.7920,-0.0082
0.7960,-0.0118
0.8000,0.0101
0.8040,0.0060
0.8080,0.0118
0.8120,-0.0075
0.8160,0.0000
0.8200,-0.0091
0.8240,0.0061
0.8280,0.0127
0.8320,-0.0071
0.8360,0.0125
0.8400,0.0079
0.8440,-0.0014
0.8480,-0.0158
0.8520,0.0113
0.8560,-0.0008
0.8600,-0.0048
0.8640,0.0032
0.8680,0.0033
0.8720,0.0121
0.8760,-0.0078
0.8800,0.0104
0.8840,0.0164
0.8880,0.0239
0.8920,0.0268
0.8960,0.0478
0.9000,0.0929
0.9040,0.1117
0.9080,0.1209
0.9120,0.1190
0.9160,0.0779
0.9200,0.0310
0.9240,0.0221
0.9280,-0.0042
0.9320,0.0103
0.9360,0.0036
0.9400,-0.0046
0.9440,-0.0000
0.9480,0.0067
0.9520,0.0006
0.9560,0.0106
0.9600,-0.0005
0.9640,0.0083
0.9680,0.0118
0.9720,0.0105
0.9760,-0.0229
0.9800,-0.0535
0.9840,-0.1115
0.9880,-0.0493
0.9920,0.1903
0.9960,0.7250
1.0000,1.0396
1.0040,0.7197
1.0080,0.2233
1.0120,-0.0001
1.0160,-0.0951
1.0200,-0.1569
1.0240,-0.1637
1.0280,-0.1304
1.0320,-0.0587
1.0360,-0.0118
1.0400,-0.0057
1.0440,-0.0106
1.0480,-0.0045
1.0520,0.0086
1.0560,-0.0132
1.0600,-0.0048
1.0640,0.0081
1.0680,0.0064
1.0720,0.0001
1.0760,0.0065
1.0800,0.0015
1.0840,-0.0091
1.0880,-0.0119
1.0920,-0.0041
1.0960,0.0092
1.1000,-0.0014
1.1040,-0.0021
1.1080,0.0021
1.1120,0.0007
1.1160,0.0186
1.1200,0.0193
1.1240,0.0439
1.1280,0.0379
1.1320,0.0788
1.1360,0.0942
1.1400,0.1100
1.1440,0.1598
1.1480,0.1812
1.1520,0.1940
1.1560,0.2306
1.1600,0.2608
1.1640,0.2692
1.1680,0.2858
1.1720,0.2840
1.1760,0.2735
1.1800,0.2537
1.1840,0.2388
1.1880,0.2064
1.1920,0.1757
1.1960,0.1262
1.2000,0.1223
1.2040,0.1005
1.2080,0.0659
1.2120,0.0465
1.2160,0.0514
1.2200,0.0108
1.2240,0.0205
1.2280,0.0303
1.2320,-0.0005
1.2360,0.0098
1.2400,0.0176
1.2440,0.0005
1.2480,0.0053
1.2520,0.0077
1.2560,-0.0070
1.2600,-0.0006
1.2640,0.0024
1.2680,0.0066
1.2720,-0.0003
1.2760,-0.0016
1.2800,-0.0081
1.2840,-0.0029
1.2880,0.0071
1.2920,0.0008
1.2960,-0.0068
1.3000,-0.0067
1.3040,0.0213
1.3080,0.0091
1.3120,0.0051
1.3160,-0.0207
1.3200,0.0050
1.3240,0.0038
1.3280,0.0135
1.3320,0.0034
1.3360,-0.0005
1.3400,0.0042
1.3440,-0.0156
1.3480,0.0083
1.3520,0.0026
1.3560,-0.0056
1.3600,0.0106
1.3640,0.0145
1.3680,-0.0112
1.3720,-0.0053
1.3760,0.0023
1.3800,0.0015
1.3840,-0.0032
1.3880,-0.0078
1.3920,0.0170
1.3960,0.0083
1.4000,-0.0096
1.4040,-0.0108
1.4080,0.0136
1.4120,0.0079
1.4160,0.0146
1.4200,0.0065
1.4240,-0.0070
1.4280,0.0021
1.4320,-0.0173
1.4360,-0.0060
1.4400,-0.0005
1.4440,0.0042
1.4480,-0.0058
1.4520,-0.0010
1.4560,0.0037
1.4600,0.0030
1.4640,0.0051
1.4680,0.0017
1.4720,-0.0026
1.4760,0.0063
1.4800,0.0004
1.4840,-0.0066
1.4880,-0.0050
1.4920,-0.0000
1.4960,-0.0009
1.5000,0.0013
1.5040,-0.0000
1.5080,0.0014
1.5120,-0.0011
1.5160,-0.0101
1.5200,0.0034
1.5240,0.0084
1.5280,0.0035
1.5320,-0.0015
1.5360,0.0036
1.5400,-0.0077
1.5440,-0.0152
1.5480,0.0005
1.5520,-0.0074
1.5560,0.0059
1.5600,-0.0087
1.5640,-0.0210
1.5680,-0.0083
1.5720,0.0126
1.5760,-0.0031
1.5800,-0.0110
1.5840,-0.0061
1.5880,0.0042
1.5920,0.0040
1.5960,0.0014
1.6000,0.0119
1.6040,0.0057
1.6080,-0.0002
1.6120,0.0048
1.6160,0.0132
1.6200,0.0078
1.6240,0.0082
1.6280,-0.0087
1.6320,-0.0012
1.6360,0.0058
1.6400,-0.0023
1.6440,0.0088
1.6480,0.0057
1.6520,0.0104
1.6560,0.0075
1.6600,0.0427
1.6640,0.0550
1.6680,0.0735
1.6720,0.1048
1.6760,0.1402
1.6800,0.1108
1.6840,0.0964
1.6880,0.0663
1.6920,0.0317
1.6960,0.0048
1.7000,0.0068
1.7040,0.0045
1.7080,0.0095
1.7120,0.0064
1.7160,0.0002
1.7200,0.0068
1.7240,0.0043
1.7280,0.0016
1.7320,0.0004
1.7360,-0.0020
1.7400,0.0044
1.7440,-0.0187
1.7480,-0.0498
1.7520,-0.0913
1.7560,-0.0841
1.7600,0.0975
1.7640,0.5275
1.7680,1.0069
1.7720,0.8808
1.7760,0.3573
1.7800,0.0442
1.7840,-0.0679
1.7880,-0.1520
1.7920,-0.1651
1.7960,-0.1462
1.8000,-0.0737
1.8040,-0.0367
1.8080,-0.0085
1.8120,-0.0156
1.8160,0.0061
1.8200,0.0075
1.8240,-0.0152
1.8280,-0.0004
1.8320,0.0050
1.8360,-0.0141
1.8400,-0.0146
1.8440,-0.0085
1.8480,-0.0049
1.8520,-0.0110
1.8560,0.0007
1.8600,0.0029
1.8640,0.0066
1.8680,0.0083
1.8720,0.0164
1.8760,0.0165
1.8800,0.0008
1.8840,0.0132
1.8880,0.0172
1.8920,0.0283
1.8960,0.0509
1.9000,0.0699
1.9040,0.0957
1.9080,0.1045
1.9120,0.1352
1.9160,0.1742
1.9200,0.2017
1.9240,0.2276
1.9280,0.2522
1.9320,0.2632
1.9360,0.2840
1.9400,0.2822
1.9440,0.2713
1.9480,0.2517
1.9520,0.2343
1.9560,0.1880
1.9600,0.1733
1.9640,0.1521
1.9680,0.1114
1.9720,0.0990
1.9760,0.0758
1.9800,0.0444
1.9840,0.0380
1.9880,0.0254
1.9920,0.0227
1.9960,0.0174
2.0000,0.0077
2.0040,-0.0018
2.0080,0.0018
2.0120,0.0012
2.0160,0.0069
2.0200,0.0029
2.0240,-0.0055
2.0280,-0.0107
2.0320,-0.0029
2.0360,-0.0059
2.0400,-0.0089
2.0440,-0.0009
2.0480,-0.0039
2.0520,0.0008
2.0560,0.0042
2.0600,-0.0033
2.0640,0.0186
2.0680,-0.0026
2.0720,0.0088
2.0760,0.0010
2.0800,0.0089
2.0840,-0.0190
2.0880,-0.0060
2.0920,0.0020
2.0960,0.0048
2.1000,0.0187
2.1040,0.0026
2.1080,0.0102
2.1120,0.0061
2.1160,0.0076
2.1200,0.0041
2.1240,-0.0012
2.1280,0.0041
2.1320,-0.0086
2.1360,0.0095
2.1400,-0.0081
2.1440,0.0020
2.1480,0.0170
2.1520,-0.0018
2.1560,0.0002
2.1600,0.0093
2.1640,0.0002
2.1680,-0.0065
2.1720,0.0021
2.1760,0.0047
2.1800,0.0057
2.1840,-0.0062
2.1880,0.0140
2.1920,0.0133
2.1960,0.0001
2.2000,0.0021
2.2040,-0.0034
2.2080,0.0113
2.2120,-0.0056
2.2160,0.0054
2.2200,-0.0038
2.2240,-0.0056
2.2280,0.0057
2.2320,0.0107
2.2360,-0.0001
2.2400,-0.0054
2.2440,0.0065
2.2480,-0.0004
2.2520,0.0025
2.2560,0.0122
2.2600,0.0091
2.2640,-0.0042
2.2680,0.0183
2.2720,0.0000
2.2760,0.0063
2.2800,-0.0052
2.2840,-0.0004
2.2880,-0.0140
2.2920,0.0143
2.2960,0.0109
2.3000,-0.0097
2.3040,-0.0120
2.3080,-0.0130
2.3120,0.0094
2.3160,-0.0037
2.3200,-0.0005
2.3240,-0.0025
2.3280,-0.0010
2.3320,-0.0087
2.3360,0.0002
2.3400,-0.0115
2.3440,-0.0006
2.3480,0.0025
2.3520,0.0037
2.3560,-0.0019
2.3600,-0.0072
2.3640,0.0013
2.3680,-0.0039
2.3720,0.0125
2.3760,0.0061
2.3800,-0.0009
2.3840,-0.0038
2.3880,-0.0056
2.3920,-0.0075
2.3960,-0.0028
2.4000,0.0024
2.4040,0.0041
2.4080,0.0046
2.4120,0.0169
2.4160,-0.0051
2.4200,0.0023
2.4240,0.0291
2.4280,0.0024
2.4320,0.0329
2.4360,0.0669
2.4400,0.0973
2.4440,0.1200
2.4480,0.1157
2.4520,0.1011
2.4560,0.0684
2.4600,0.0451
2.4640,0.0034
2.4680,0.0002
2.4720,0.0024
2.4760,-0.0076
2.4800,-0.0082
2.4840,0.0050
2.4880,-0.0052
2.4920,0.0051
2.4960,0.0060
2.5000,0.0025
2.5040,0.0040
2.5080,-0.0013
2.5120,-0.0169
